OBJECTID,aadt_type,priority,sh_sa_ir,faadt,fedfunccls,fed_urbrur,capacity,jurisdictn,link_id,nhs_status,num_lanes,offic_mile,prim_bmp,prirtecode,prim_emp,prirtename,segment_id,speed_lim,speedsrc,st_urbrur,strtname,townname,towncode,cntyname,cnty_no,surfc_type,dot_region,dot_regi_1,Shape_Leng,x,y,Damage_Status,Match_Type,Matched_Damage_OBJECTID,Dist_to_Damage_m,Z_Min,Z_Max,Z_Mean,Length3D,Min_Slope,Max_Slope,Avg_Slope,Shape_Length,Distance_to_Coast_m,Nearest_Gauge,Max_Height,Return_Period,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max,Structure
1115,E,5,IR-0903513,110,Local,Rural,1000,Townway,199745,Non-fed aid non-NHS,2,Y,0.44,903513,0.76,RD INV 09 03513,93405,20,Posted,Rural,ROSE HILL RD,Swans Island,9320,Hancock,9,Unimproved,4,Eastern,726.3671856,-68.41640143,44.18182348,No Damage,Control,127319,614.8301402,13,23,20.21976569,,0,97.98804824,3.104674866,726.3671856,326.9894148540088,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,9.903232,19.903232,17.12299769,No Structure
127318,E,5,IR-0903512,11,Local,Rural,1000,Townway,5094104,Non-fed aid non-NHS,2,Y,0,903512,0.08,RD INV 09 03512,31226,,Unposted,Rural,THOMAS RD,Swans Island,9320,Hancock,9,Unimproved,4,Eastern,174.7429496,-68.41982848,44.18004959,No Damage,Control,127319,691.0236779,6,18,12.1570581,,0,90.0186117,8.04523708,174.7429496,107.4004832,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,2.903232,14.903232,9.0602901,No Structure
163525,A,4,SA-005,446,Major Collector,Rural,1800,State aid,3107372,Fed aid non-NHS,2,Y,0.08,903512,0.46,RD INV 09 03512,41984,35,Posted,Rural,FERRY RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,844.8464994,-68.42014424,44.17772576,No Damage,Control,127319,944.8914148,3,14,7.652341303,,0,92.79339745,4.400764742,844.8464994,7.602248117414559,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,-0.096768,10.903232,4.555573303,No Structure
113889,E,5,IR-0903501,154,Local,Rural,1000,Townway,5094077,Non-fed aid non-NHS,2,Y,4.27,903501,4.982,RD INV 09 03501,58090,,Unposted,Rural,ATLANTIC RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,1594.167326,-68.39807777,44.16636237,Damage,Damage,113889,,8,17,11.51129818,,0,97.14668518,2.528847048,1594.167326,170.87167100220012,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,4.903232,13.903232,8.41453018,No Structure
165027,E,5,IR-0903714,11,Local,Rural,1000,Townway,200620,Non-fed aid non-NHS,2,Y,0,903714,0.15,RD INV 09 03714,83162,,Unposted,Rural,JOHN CARROLL RD,Swans Island,9320,Hancock,9,Gravel,4,Eastern,338.8258121,-68.40448225,44.16934162,No Damage,Control,113889,608.8392242,9,15,11.36610607,,0,87.45363917,3.359698521,338.8258121,191.6112207992434,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,5.903232,11.903232,8.26933807,No Structure
113888,E,5,IR-0903501,154,Local,Rural,1000,Townway,5094077,Non-fed aid non-NHS,2,Y,4.982,903501,5.25,RD INV 09 03501,4199,,Unposted,Rural,ATLANTIC RD,Swans Island,9320,Hancock,9,Unimproved,4,Eastern,601.2817539,-68.39715686,44.16028438,No Damage,Control,113889,679.8220156,16,21,17.30612983,,0,75.21917773,5.304282875,462.6299744,357.7770490593163,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,12.903232,17.903232,14.20936183,No Structure
165026,E,5,IR-0903501,154,Local,Rural,1000,Townway,200618,Non-fed aid non-NHS,2,Y,4.07,903501,4.27,RD INV 09 03501,81194,,Unposted,Rural,ATLANTIC RD,Swans Island,9320,Hancock,9,Flexible,4,Eastern,438.9075127,-68.40700597,44.16777285,No Damage,Control,113889,729.191924,14,15,14.32138538,,0,77.5478481,6.911917676,41.39457238,434.7310301171507,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,10.903232,11.903232,11.22461738,No Structure
127308,E,5,IR-0903515,22,Local,Rural,1000,Tnwy summer,5094093,Non-fed aid non-NHS,2,Y,0,903515,0.21,RD INV 09 03515,41545,20,Posted,Rural,SCOFIELD LN,Swans Island,9320,Hancock,9,Unimproved,4,Eastern,465.8173194,-68.40673223,44.17058751,No Damage,Control,113889,834.9880335,9,10,9.491508903,,0,80.02108437,4.027047896,222.49803,218.83429729220103,Bar Harbor,10.16,5888.6,Jonesport,5.97,144,3.39,144.49,Eastern Shelf,20.07,116.2,13.47,142.3,Southwest Harbor,1.11,5.903232,6.903232,6.394740903,No Structure
116349,E,5,IR-0501356,86,Local,Rural,1000,Townway,5095359,Non-fed aid non-NHS,2,Y,0,501356,0.35,RD INV 05 01356,64083,25,Posted,Rural,GARRISON COVE RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,784.7840014,-69.99239907,43.74690168,Damage,Damage,116349,,3,16.9452,6.473758948,,0,89.73606194,3.241917633,784.7840014,19.686347629613955,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,0.16536,14.11056,3.639118948,No Structure
201274,A,4,SA-002,2266,Major Collector,Rural,1800,State aid,3942537,Fed aid non-NHS,2,Y,1,0024X,1.128,ST RTE 24,61146,30,Posted,Rural,HARPSWELL ISLANDS RD,Harpswell,5110,Cumberland,5,Flexible,1,Southern,288.4909027,-69.99123061,43.74653186,No Damage,Control,116349,102.4726937,3,9,5.905798131,,0,74.97327689,5.644000604,288.4909027,34.926634306104226,Portland,9.3,280.71,Portland,6.98,156,4.43,222.44,Portland,20.1,127,12.63,182.9,Harpswell,1.81,0.16536,6.16536,3.071158131,No Structure
